x,y,id,n_neighbors,min_dist,n_components,metric,dtype,smiles,name
9.331589,0.3194792,1,3,0.0,2,cosine,sol_fp,CO,methanol
9.243773,0.45762718,3,3,0.0,2,cosine,sol_fp,C(C(CO)O)O,"propane-1,2,3-triol"
9.544454,0.6261356,5,3,0.0,2,cosine,sol_fp,CCOCC,ethoxyethane
-3.6541598,0.5944069,6,3,0.0,2,cosine,sol_fp,C1CCC2CCCCC2C1,"1,2,3,4,4a,5,6,7,8,8a-decahydronaphthalene"
-3.5960464,0.33873725,7,3,0.0,2,cosine,sol_fp,C1COCCO1,"1,4-dioxane"
-3.6934881,0.37119725,8,3,0.0,2,cosine,sol_fp,C1CCOC1,THF
8.724629,-2.8372838,9,3,0.0,2,cosine,sol_fp,C(=O)N,formamide
-8.211203,-3.3742192,10,3,0.0,2,cosine,sol_fp,C(=S)=S,carbon disulfide
9.713924,2.4054027,11,3,0.0,2,cosine,sol_fp,CCCO,propan-1-ol
-0.9023227,5.470711,16,3,0.0,2,cosine,sol_fp,CC1=CC(=CC=C1)O,3-methylphenol
-7.948482,-3.7355459,18,3,0.0,2,cosine,sol_fp,C(F)(Cl)(Cl)Cl,trichloro(fluoro)methane
1.7788767,13.346741,19,3,0.0,2,cosine,sol_fp,C1=CC=C(C=C1)[N+](=O)[O-],nitrobenzene
-0.5072063,5.17033,20,3,0.0,2,cosine,sol_fp,C1=CC(=CC=C1O)Cl,4-chlorophenol
8.841585,-0.4697551,22,3,0.0,2,cosine,sol_fp,C(C(F)(F)F)O,"2,2,2-trifluoroethanol"
8.466802,-1.1499485,26,3,0.0,2,cosine,sol_fp,CC#N,acetonitrile
-0.6601178,5.2820115,27,3,0.0,2,cosine,sol_fp,C1=CC=CC=C1,benzene
8.528214,-2.3434799,28,3,0.0,2,cosine,sol_fp,OS(=O)(=O)O,sulfuric acid
1.3409009,13.503733,31,3,0.0,2,cosine,sol_fp,C1=CC=C(C=C1)Cl,chlorobenzene
8.257674,-1.5070819,34,3,0.0,2,cosine,sol_fp,C(C(=O)O)(Cl)Cl,"2,2-dichloroacetic acid"
-8.132202,-3.899752,37,3,0.0,2,cosine,sol_fp,C(C(Cl)(Cl)Cl)Cl,"1,1,1,2-tetrachloroethane"
8.41176,-1.3163327,42,3,0.0,2,cosine,sol_fp,CC(=O)O,acetic acid
9.7057,0.43761262,43,3,0.0,2,cosine,sol_fp,CCOC(=O)C,ethyl acetate
12.750312,-6.828661,45,3,0.0,2,cosine,sol_fp,CC(=O)N(C)C,DMAc
9.503474,0.64167,50,3,0.0,2,cosine,sol_fp,CCO,ethanol
10.535056,2.2863715,51,3,0.0,2,cosine,sol_fp,CCCCCC,hexane
-0.8085545,5.492335,56,3,0.0,2,cosine,sol_fp,CC1=CC=C(C=C1)C,"1,4-xylene"
-0.08012153,5.1923003,57,3,0.0,2,cosine,sol_fp,C1=CC(=C(C=C1Cl)Cl)Cl,"1,2,4-trichlorobenzene"
-8.139024,-3.656363,58,3,0.0,2,cosine,sol_fp,Cl,chlorane
1.6446211,13.449143,60,3,0.0,2,cosine,sol_fp,C1=CC=C(C=C1)OCl,phenyl hypochlorite
0.0071692443,4.6740794,61,3,0.0,2,cosine,sol_fp,C1CCC2=CC=CC=C2C1,"1,2,3,4-tetrahydronaphthalene"
1.252035,13.355549,68,3,0.0,2,cosine,sol_fp,C1CCC(=O)CC1,cyclohexanone
-8.085684,-3.9237647,69,3,0.0,2,cosine,sol_fp,C(Cl)(Cl)(Cl)Cl,tetrachloromethane
5.691804,-1.6955968,70,3,0.0,2,cosine,sol_fp,C(Cl)(Cl)Cl,chloroform
8.809511,-2.9374783,75,3,0.0,2,cosine,sol_fp,O,oxidane
-0.10210138,5.036424,76,3,0.0,2,cosine,sol_fp,C1=CC=C(C(=C1)Cl)Cl,"1,2-dichlorobenzene"
10.444552,0.26913953,78,3,0.0,2,cosine,sol_fp,CC(=O)C,propan-2-one
5.547662,-1.7578615,80,3,0.0,2,cosine,sol_fp,CCl,chloromethane
